article_id,n_events,n_nodes,n_edges,dominant_type,has_risk,has_subdomain,cluster_id,cluster_label,is_noise,context_120
698b35e742a8083a290c11cd,2,8,7,Event,1,0,-1,non-clustere,True,"Le chef de l’Etat, Emmanuel Macron, a assisté, mardi à Dunkerque, à l’officialisation de ces investissements présentés c"
698b35f442a8083a290c11d8,3,8,7,Event,1,0,80,problème | provoquer | attaquant,False,De multiples vulnérabilités ont été découvertes dans les produits VMware. Elles permettent à un attaquant de provoquer u
698b35f442a8083a290c11d9,3,11,8,Event,0,0,-1,non-clustere,True,"Le régime du capitaine Ibrahim Traoré, qui assume ne pas être une démocratie , avait déjà suspendu les activités des par"
698b35f542a8083a290c11dc,4,13,11,Event,0,0,77,britanniques | mérite | ex,False,"Des milliers de félins peuplent les épiceries de New York, bien que les animaux y soient interdits. Des élus locaux prop"
698b35ed42a8083a290c11d2,5,11,9,Event,1,0,-1,non-clustere,True,"La commission de discipline de la Ligue de football professionnel va convoquer le Paris Saint-Germain, après les agissem"
698b35f642a8083a290c11dd,3,10,8,Event,0,0,35,américaine | français | lieu,False,"Rebaptisé quadball, le Quidditch d'Harry Potter a été introduit dans un village d'Ouganda par John Ssentamu,"
698b35fa42a8083a290c11e1,4,11,9,Event,1,0,30,unis | arrêté | etats,False,"La libre circulation des capitaux, pilier du libéralisme, serait-elle en train de s'écrouler Après la surveillance des i"
698b35f542a8083a290c11db,7,18,14,Event,0,0,-1,non-clustere,True,Après que le président ukrainien Volodymyr Zelenskya défendu lundi soir le port aux JO 2026 par le porte-drapeau de son 
698b360042a8083a290c11e3,7,14,7,Event,1,0,65,combat | communes | établissement,False,"L’île de Cuba traverse l’une des pires crises énergétiques de son histoire récente. Faute de carburant, le pays fonction"
698b35f642a8083a290c11de,7,19,14,Event,0,0,46,ans | cela | jours,False,"Les critiques contre Israël se multiplient à l'international lundi, après les annonces la veille de mesures renforçant c"
698b360342a8083a290c11e4,3,10,7,Event,0,0,142,trump | cortina | plusieurs,False,"Alors qu'environ un tiers des quelque 10000 épiceries new yorkaises seraient habitées par un chat, dont le rôle est avan"
698b35f542a8083a290c11da,7,20,19,Event,1,1,116,déclaré | police | dit,False,"Quatorze personnes ont été arrêtées et présentées à un juge à Dakar, accusés notamment de ""pédophilie en bande organisée"
698b35f742a8083a290c11df,8,16,15,Event,1,1,94,militant | samedi | mort,False,Les Etats-Unis ont saisi dans l'océan Indien un pétrolier qui avait fui le blocus ordonné par le président Trump dans le
698b360642a8083a290c11e9,7,14,12,Event,1,1,-1,non-clustere,True,"Après le survol du territoire nord-coréen par un de ses drones en janvier,la Corée du Sud a annoncé mardi enquêter sur t"
698b360342a8083a290c11e5,9,26,23,Event,0,1,0,président | mercredi | trump,False,"Auditionnée par la Chambre des Représentants, l'ancienne partenaire de Jeffrey Epstein exige une grâce présiden"
698b360342a8083a290c11e6,5,14,12,Event,0,1,12,annoncé | mardi | défense,False,"Interrogée mardi sur Europe 1, Yaël Braun-Pivets'est dite opposée à la création d'une commission d'enquête par"
698b360442a8083a290c11e7,6,19,16,Event,0,0,0,président | mercredi | trump,False,Donald Trump a menacé lundi d'empêcher l'ouverture d'un nouveau pont construit par le Canada sur la rivière Détroit. Le 
698b360642a8083a290c11e8,5,19,14,Event,1,0,113,pays | monde | france,False,Il n'y a aucune raison de se réjouir de la pression exercée par le président américain Donald Trump sur l'Eu
698b35f742a8083a290c11e0,5,15,11,Event,0,1,62,lieu | lundi | application,False,"Meta et Google ont ""fabriqué l'addiction dans des cerveaux d'enfants"", a clamé lundi l'avocat de la plaignante dans le p"
698b35fb42a8083a290c11e2,6,16,17,Event,0,0,0,président | mercredi | trump,False,"En un an, plus de 350 000 migrants ont été expulsés des États-Unis. Notre focus du jour, vous emmène à la rencontre de c"
698b360b42a8083a290c11ea,1,4,3,Event,0,0,29,française | jeux | médaille,False,Pas de médaille française lundi aux Jeux d'hiver. Valentin Foubert est passé tout près de l'exploit en saut à ski.
698b360b42a8083a290c11ec,5,13,11,Event,0,0,0,président | mercredi | trump,False,"Cinq figures de la coalition du Front des réformateurs ont été interpellées depuis dimanche en Iran, où les autorités on"
698b360b42a8083a290c11ed,8,19,13,Event,0,0,0,président | mercredi | trump,False,Les critiques contre Israël se multiplient à l'international après les annonces de mesures renforçant considérablement s
698b360b42a8083a290c11ee,7,19,13,Event,0,0,126,mercredi | 2025 | plusieurs,False,Le magnat de la presse et activiste prodémocratie Jimmy Lai a été condamné lundi par un tribunal de Hong Kong à une pein
698b360b42a8083a290c11f0,4,10,8,Event,1,0,59,provoquer | permettent | vulnérabilités,False,De multiples vulnérabilités ont été découvertes dans SolarWinds Web Help Desk. Elles permettent à un attaquant de provoq
698b360b42a8083a290c11ef,6,15,10,Event,0,0,-1,non-clustere,True,"L'affaire Epstein aurat-elle des répercussions sur le continent africain Plusieurs personnalités africaines sont citées,"
698b361242a8083a290c11f4,2,6,6,Event,1,0,82,provoquer | attaquant | vulnérabilité,False,Une vulnérabilité a été découverte dans Qnap QTS. Elle permet à un attaquant de provoquer un contournement de la politiq
698b361442a8083a290c11f5,3,7,6,Event,1,1,64,attaquant | provoquer | sécurité,False,Une vulnérabilité a été découverte dans Microsoft Edge. Elle permet à un attaquant de provoquer un problème de sécurité 
698b361542a8083a290c11f6,3,7,6,Event,1,1,64,attaquant | provoquer | sécurité,False,Une vulnérabilité a été découverte dans Splunk Enterprise. Elle permet à un attaquant de provoquer un problème de sécuri
698b361042a8083a290c11f2,3,9,7,Event,1,0,58,vulnérabilités | provoquer | permettent,False,De multiples vulnérabilités ont été découvertes dans le noyau Linux de Red Hat. Certaines d'entre elles permettent à un 
698b360c42a8083a290c11f1,3,9,7,Event,1,1,68,vulnérabilités | multiples | découvertes,False,De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un att
698b361842a8083a290c11f9,4,11,8,Event,1,0,59,provoquer | permettent | vulnérabilités,False,De multiples vulnérabilités ont été découvertes dans le noyau Linux d'Ubuntu. Certaines d'entre elles permettent à un at
698b361b42a8083a290c11fc,2,5,5,Event,1,0,83,vulnérabilité | découverte | attaquant,False,Une vulnérabilité a été découverte dans ESET Inspect Connector. Elle permet à un attaquant de provoquer une élévation de
698b361942a8083a290c11fb,5,15,12,Event,0,0,130,français | semaine | france,False,Ce bulletin d'actualité du CERT-FR revient sur les vulnérabilités significatives de la semaine passée pour souligner leu
698b361742a8083a290c11f7,5,13,9,Event,1,1,69,vulnérabilités | provoquer | permettent,False,De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant
698b361742a8083a290c11f8,3,8,7,Event,1,1,25,vulnérabilités | problème | attaquant,False,De multiples vulnérabilités ont été découvertes dans Node.js. Elles permettent à un attaquant de provoquer un problème d
698b361142a8083a290c11f3,4,13,11,Event,1,0,-1,non-clustere,True,De multiples vulnérabilités ont été découvertes dans Ivanti Endpoint Manager Mobile EPMM . Elles permettent à un attaqua
698b361842a8083a290c11fa,8,15,7,Event,1,0,59,provoquer | permettent | vulnérabilités,False,"Mise à jour du 09 février 2026 Le 6 février 2026, Ivanti a mis à disposition des scripts RPM de détection d'ind"
698b361e42a8083a290c11fe,2,6,6,Event,1,0,82,provoquer | attaquant | vulnérabilité,False,Une vulnérabilité a été découverte dans Google Pixel. Elle permet à un attaquant de provoquer une élévation de privilège
698b361c42a8083a290c11fd,6,16,10,Event,1,1,-1,non-clustere,True,"En tant que service numérique innovant, performant et flexible, l’IA générative est progressivement intégrée à l’éventa"
698b361e42a8083a290c1200,2,6,5,Event,1,1,63,attaquant | provoquer | découvertes,False,De multiples vulnérabilités ont été découvertes dans GLPI. Certaines d'entre elles permettent à un attaquant de provoque
698b362142a8083a290c1202,4,10,8,Event,1,1,71,attaquant | permettent | multiples,False,De multiples vulnérabilités ont été découvertes dans Tenable Identity Exposure. Elles permettent à un attaquant de provo
698b361e42a8083a290c11ff,2,6,6,Event,1,0,82,provoquer | attaquant | vulnérabilité,False,Une vulnérabilité a été découverte dans les produits Moxa. Elle permet à un attaquant de provoquer un contournement de l
698b362242a8083a290c1203,3,8,7,Event,1,0,80,problème | provoquer | attaquant,False,De multiples vulnérabilités ont été découvertes dans les produits Splunk. Elles permettent à un attaquant de provoquer u
698b362042a8083a290c1201,3,8,7,Event,1,1,25,vulnérabilités | problème | attaquant,False,De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un prob
698b362542a8083a290c1208,3,9,8,Event,1,1,71,attaquant | permettent | multiples,False,Une vulnérabilité a été découverte dans NetApp ONTAP 9. Elle permet à un attaquant de provoquer une atteinte à la confid
698b362542a8083a290c1209,2,6,6,Event,1,0,82,provoquer | attaquant | vulnérabilité,False,Une vulnérabilité a été découverte dans ESET Management Agent. Elle permet à un attaquant de provoquer une élévation de 
698b362342a8083a290c1206,3,9,7,Event,1,0,59,provoquer | permettent | vulnérabilités,False,De multiples vulnérabilités ont été découvertes dans le noyau Linux de Red Hat. Certaines d'entre elles permettent à un 
698b362742a8083a290c120a,3,7,6,Event,1,0,80,problème | provoquer | attaquant,False,De multiples vulnérabilités ont été découvertes dans Tenable Nessus. Elles permettent à un attaquant de provoquer un pro
698b362342a8083a290c1205,3,9,7,Event,1,0,-1,non-clustere,True,De multiples vulnérabilités ont été découvertes dans les produits F5. Certaines d'entre elles permettent à un attaquant 
698b362442a8083a290c1207,4,11,8,Event,1,0,59,provoquer | permettent | vulnérabilités,False,De multiples vulnérabilités ont été découvertes dans Asterisk. Certaines d'entre elles permettent à un attaquant de prov
698b362942a8083a290c120b,3,8,7,Event,1,0,80,problème | provoquer | attaquant,False,De multiples vulnérabilités ont été découvertes dans le noyau Linux d'Ubuntu. Elles permettent à un attaquant de provoqu
698b362942a8083a290c120d,4,10,8,Event,1,1,-1,non-clustere,True,De multiples vulnérabilités ont été découvertes dans Microsoft Edge. Elles permettent à un attaquant de provoquer un con
698b362a42a8083a290c120f,3,7,6,Event,1,0,82,provoquer | attaquant | vulnérabilité,False,Une vulnérabilité a été découverte dans les produits Juniper Networks. Elle permet à un attaquant de provoquer un déni d
698b362d42a8083a290c1211,5,15,12,Event,0,0,130,français | semaine | france,False,Ce bulletin d'actualité du CERT-FR revient sur les vulnérabilités significatives de la semaine passée pour souligner leu
698b360b42a8083a290c11eb,6,14,9,Event,1,0,30,unis | arrêté | etats,False,"la presse, ce mardi 10 février, la situation en Ukraine, où l’offensive hivernale de l’armée russe entraîne de lourdes p"
698b362a42a8083a290c120e,6,15,12,Event,1,0,-1,non-clustere,True,De multiples vulnérabilités ont été découvertes dans les produits Moxa. Elles permettent à un attaquant de provoquer une
698b362f42a8083a290c1212,3,8,7,Event,1,0,80,problème | provoquer | attaquant,False,De multiples vulnérabilités ont été découvertes dans VMware Tanzu Greenplum. Elles permettent à un attaquant de provoque
698b362b42a8083a290c1210,5,13,9,Event,1,1,69,vulnérabilités | provoquer | permettent,False,De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant
698b362942a8083a290c120c,3,9,7,Event,1,0,58,vulnérabilités | provoquer | permettent,False,De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un att
698b363142a8083a290c1214,4,11,9,Event,1,1,68,vulnérabilités | multiples | découvertes,False,Une vulnérabilité a été découverte dans GitLab AI Gateway. Elle permet à un attaquant de provoquer une exécution de code
698b363042a8083a290c1213,4,11,9,Event,1,0,59,provoquer | permettent | vulnérabilités,False,De multiples vulnérabilités ont été découvertes dans Roundcube. Elles permettent à un attaquant de provoquer une exécuti
698b363242a8083a290c1216,3,7,6,Event,1,1,64,attaquant | provoquer | sécurité,False,Une vulnérabilité a été découverte dans Microsoft Edge. Elle permet à un attaquant de provoquer un problème de sécurité 
698b363142a8083a290c1215,2,6,6,Event,1,1,63,attaquant | provoquer | découvertes,False,Une vulnérabilité a été découverte dans Fortinet FortiClientEMS. Elle permet à un attaquant de provoquer une injection S
698b362342a8083a290c1204,5,13,9,Event,1,1,69,vulnérabilités | provoquer | permettent,False,De multiples vulnérabilités ont été découvertes dans les produits Cisco. Certaines d'entre elles permettent à un attaqua
698b383a42a8083a290c121e,2,6,4,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 21 décembre 2025, l’exploitant de la centrale nucléaire de Chooz B a déclaré à l’Autorité de sûreté nucléaire et de r"
698b383a42a8083a290c121a,6,11,9,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 28 octobre 2025, l’exploitant de la centrale nucléaire de Belleville-sur-Loire a déclaré à l’Autorité de sûreté nuclé"
698b383a42a8083a290c1217,6,9,3,Event,0,1,-1,non-clustere,True,té de sûreté nucléaire et de radioprotection ASNR un événement significatif pour la radioprotection survenue sur l’INB 7
698b383a42a8083a290c1219,4,11,7,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 23janvier2026, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un évènement significatif po"
698b383a42a8083a290c121d,2,6,4,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 30 décembre 2025, l’exploitant de la centrale nucléaire de Chooz B a déclaré à l’Autorité de sûreté nucléaire et de r"
698b383a42a8083a290c1218,6,10,6,Event,0,1,-1,non-clustere,True,"Le 26 janvier 2026, EDF a déclaré à l’Autorité de sureté nucléaire et de radioprotection ASNR un événement significatif "
698b383a42a8083a290c121c,6,12,8,Event,1,1,53,nucléaire | déclaré | sûreté,False,"Le 14 janvier 2026, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif "
698b384242a8083a290c1220,3,5,3,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 30 décembre 2025, l’exploitant de la centrale nucléaire de Golfech a déclaré à l’Autorité de sûreté nucléaire et de r"
698b384242a8083a290c121f,6,10,6,Event,1,1,54,nucléaire | déclaré | radioprotection,False,La société Framatome a déclaré le 7 janvier 2026 à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événemen
698b384242a8083a290c1221,7,14,9,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 30 septembre 2025, l’exploitant de la centrale nucléaire du Blayais a déclaré à l’Autorité de sûreté nucléaire et de "
698b384342a8083a290c1223,5,9,7,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 29 octobre 2025, l’exploitant de la centrale nucléaire de Gravelines a déclaré à l’Autorité de sûreté nucléaire et de"
698b384342a8083a290c1222,7,15,10,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 20 novembre 2025, l’exploitant de la centrale nucléaire de Saint-Alban a déclaré à l’Autorité de sûreté nucléaire et "
698b384842a8083a290c1227,2,6,4,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 3 décembre 2025, l’exploitant de la centrale nucléaire de Chooz B a déclaré à l’Autorité de sûreté nucléaire et de ra"
698b384942a8083a290c1228,3,9,7,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 20 novembre 2025, l’exploitant de la centrale nucléaire de Chooz B a déclaré à l’Autorité de sûreté nucléaire et de r"
698b384742a8083a290c1225,6,13,9,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 27 novembre 2025, EDF a déclaré à l 039 Autorité de sûreté nucléaire et de radioprotection ASNR un événement signific"
698b384542a8083a290c1224,3,6,4,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 2 décembre 2025, l’exploitant de la centrale nucléaire de Gravelines a déclaré à l’Autorité de sûreté nucléaire et de"
698b383a42a8083a290c121b,5,9,5,Event,1,1,53,nucléaire | déclaré | sûreté,False,"Le 30 janvier 2026, l’exploitant de la centrale nucléaire de Dampierre-en-Burly a déclaré à l’ASNR un événement signific"
698b384a42a8083a290c122a,4,9,6,Event,1,1,53,nucléaire | déclaré | sûreté,False,"Le 18 novembre 2025, l’exploitant de la centrale nucléaire du Bugey a déclaré à l’Autorité de sûreté nucléaire et de rad"
698b384742a8083a290c1226,5,10,7,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 2 décembre 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif "
698b384942a8083a290c1229,7,14,8,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 1er décembre 2025, l’exploitant de la centrale nucléaire de Dampierre-en-Burly a déclaré à l’Autorité de sûreté nuclé"
698b384d42a8083a290c122b,4,11,8,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 18 novembre 2025, l’exploitant de la centrale nucléaire du Bugey a déclaré à l’Autorité de sûreté nucléaire et de rad"
698b385042a8083a290c1230,4,9,9,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 6 novembre 2025, l’exploitant de la centrale nucléaire de Belleville-sur-Loire a déclaré à l’Autorité de sûreté nuclé"
698b384f42a8083a290c122e,5,9,8,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 17 novembre 2025, l’exploitant de la centrale nucléaire de Gravelines a déclaré à l’Autorité de sûreté nucléaire et d"
698b384e42a8083a290c122c,4,8,6,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 6 novembre 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection un événement significatif pour "
698b384f42a8083a290c122f,2,3,2,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 14 novembre 2025, l’exploitant de la centrale nucléaire de Gravelines a déclaré à l’Autorité de sûreté nucléaire et d"
698b385042a8083a290c1232,9,20,17,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 23 octobre 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif "
698b384e42a8083a290c122d,9,19,17,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 10 novembre 2025, EDF a reclassé au niveau 1 de l’échelle INES un événement significatif pour la sûreté relatif à la "
698b385642a8083a290c1235,7,15,10,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 27 octobre 2025, l’exploitant de la centrale nucléaire de Penly a déclaré à l’Autorité de sûreté nucléaire et de radi"
698b385942a8083a290c1238,3,7,5,Event,1,1,53,nucléaire | déclaré | sûreté,False,"Le 3 octobre 2025, l’exploitant de la centrale nucléaire du Blayais a déclaré à l’Autorité de sûreté nucléaire et de rad"
698b385042a8083a290c1233,5,10,7,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 22 septembre 2025, EDF a déclaré à l’Autorité de sureté nucléaire et de radioprotection ASNR un événement significati"
698b385742a8083a290c1236,2,3,2,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 8 octobre 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif r"
698b385642a8083a290c1234,2,3,2,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 8 octobre 2025, EDF a déclaré à l’Autorité de sureté nucléaire et de radioprotection ASNR un événement significatif r"
698b385042a8083a290c1231,7,15,9,Event,1,1,53,nucléaire | déclaré | sûreté,False,"L’institut Laue-Langevin ILL , exploitant du réacteur à haut flux RHF de neutrons sur son site de Grenoble, a déclaré le"
698b385842a8083a290c1237,6,14,9,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 2 octobre 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif r"
698b385d42a8083a290c123b,8,13,11,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"A la suite d’une évolution dela démarche de classement des événements significatifs relatifs à des îlotages, cet événeme"
698b385b42a8083a290c1239,9,17,9,Event,1,1,-1,non-clustere,True,"Le 26 septembre 2025, l’exploitant de la centrale nucléaire de Dampierre-en-Burly a déclaré à l’Autorité de sûreté nuclé"
698b385f42a8083a290c123f,3,6,4,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 14 août 2025, l’exploitant de la centrale nucléaire de Cattenom a déclaré à l’Autorité de sûreté nucléaire et de radi"
698b385c42a8083a290c123a,5,11,8,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 18 septembre 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significati"
698b385d42a8083a290c123c,5,10,7,Event,0,1,39,nucléaire | sûreté | radioprotection,False,"Le 9 septembre 2025, EDF a déclaré à l’Autorité de sureté nucléaire et de radioprotection ASNR un événement significatif"
698b385e42a8083a290c123e,3,6,4,Event,1,1,-1,non-clustere,True,"Le 18 août 2025, EDF a déclaré à l 039 Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif"
698b385e42a8083a290c123d,6,13,11,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 21 août 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif pou"
698b386142a8083a290c1240,4,7,5,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 22 juillet 2025, l’exploitant de la centrale nucléaire de Gravelines a déclaré à l’ASNR un événement significatif pou"
698b386342a8083a290c1241,10,27,23,Event,0,1,101,muni | fusil | enceinte,False,"L’exploitant de la centrale nucléaire de Gravelines a informé l’ASNR des arrêts automatiques des réacteurs 2, 3, 4 et 6,"
698b386442a8083a290c1242,5,8,7,Event,1,1,53,nucléaire | déclaré | sûreté,False,"Le 12 août 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement significatif rel"
698b386642a8083a290c1247,5,9,6,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 24 juillet 2025, l’exploitant de la centrale nucléaire de Gravelines a déclaré à l’ASNR un événement significatif pou"
698b386842a8083a290c1248,3,6,6,Event,1,1,54,nucléaire | déclaré | radioprotection,False,"Le 25 juillet 2025, l’exploitant de la centrale nucléaire de Gravelines a déclaré à l’Autorité de sûreté nucléaire et de"
698b386642a8083a290c1246,5,12,10,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 29 juillet 2025, EDF a déclaré à l’Autorité de sûreté nucléaire et de radioprotection ASNR un évènement significatif "
698b386542a8083a290c1244,5,8,6,Event,0,0,-1,non-clustere,True,"Le 6 août 2025, Orano Recyclage a déclaré à l’ASNR le reclassement d’un événement significatif relatif au non-respect de"
698b386542a8083a290c1243,6,12,8,Event,1,1,53,nucléaire | déclaré | sûreté,False,La société Framatome a déclaré le 8 août 2025 à l’Autorité de sûreté nucléaire et de radioprotection ASNR un événement s
698b386642a8083a290c1245,10,20,14,Event,1,1,39,nucléaire | sûreté | radioprotection,False,"Le 30 mai 2025, l’exploitant de la centrale nucléaire de Dampierre-en-Burly a déclaré à l’Autorité de sûreté nucléaire e"
698b3ceb42a8083a290c124d,3,11,8,Event,0,0,128,président | 1950 | chanteur,False,"Dès la fin des années 1950, le chanteur, guitariste et producteur fut l’un des principaux acteurs de ce style"
698b3ceb42a8083a290c124a,4,13,12,Event,1,1,90,partie | droite | défendu,False,"Ces textes, adoptés grâce à une alliance de la droite et de l’extrême droite, permettent notamment aux Etats membres de"
698b3ceb42a8083a290c1249,6,15,11,Event,0,0,130,français | semaine | france,False,Un comité de concertation mis en place par le Centre national du cinéma s’est donné pour mission d’imposer des bonnes pr
698b3ceb42a8083a290c124c,2,5,4,Event,0,0,130,français | semaine | france,False,"Pour rallier des pays réticents comme l’Italie, une certaine flexibilité a été introduite durant les négociation"
698b3ceb42a8083a290c124b,7,12,10,Event,0,0,70,mercredi | quitter | monde,False,"LaHavane, pour qui la nature du régime n’est pas négociable, applique un plan de résistance qui rappelle celui mis en pl"
698b3f4442a8083a290c124e,4,5,1,Event,0,1,74,analyse | récit | situation,False,"Jean-Pierre Farandou, le ministre du travail, est favorable à la suspension du versement des allocations-chômage en cas "
698b419c42a8083a290c1253,3,7,6,Event,1,1,63,attaquant | provoquer | découvertes,False,De multiples vulnérabilités ont été découvertes dans GnuTLS. Elles permettent à un attaquant de provoquer un déni de ser
698b419c42a8083a290c1251,4,11,8,Event,1,0,59,provoquer | permettent | vulnérabilités,False,De multiples vulnérabilités ont été découvertes dans les produits Axis. Certaines d'entre elles permettent à un attaquan
698b419c42a8083a290c1252,5,13,10,Event,1,0,66,permettent | provoquer | vulnérabilités,False,De multiples vulnérabilités ont été découvertes dans les produits Siemens. Elles permettent à un attaquant de provoquer 
698b419c42a8083a290c1255,8,24,18,Event,1,0,-1,non-clustere,True,"Le parquet de Grenoble a lancé, mardi, un vaste appel à témoins concernant un homme de 79 ans. Le suspect, Jacques Leveu"
